Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),G_Cypher,G_Sparql
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Ministral 3 8B,8B,False,0.1,100.0,19.4529,5.019,"[18.5083, 26.1320]",True,True
Q02,Give me the films whose actors won an Oscar,Ministral 3 8B,8B,False,0.1,100.0,13.9642,0.0443,"[13.8937, 14.0500]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Ministral 3 8B,8B,False,0.1,100.0,18.9842,0.1245,"[18.8967, 19.2845]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Ministral 3 8B,8B,False,0.1,93.33,21.4245,0.6487,"[20.3382, 22.6894]",True,True
Q05,Give me the films in which all the actors are US citizens,Ministral 3 8B,8B,False,0.1,100.0,16.7838,0.0507,"[16.7294, 16.9027]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Phi-4 14B,14B,False,0.15,100.0,63.7494,7.0143,"[62.1118, 73.2452]",True,True
Q02,Give me the films whose actors won an Oscar,Phi-4 14B,14B,False,0.15,100.0,55.9093,7.2789,"[42.9025, 63.0309]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Phi-4 14B,14B,False,0.15,100.0,63.071,0.2709,"[62.9716, 63.1705]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Phi-4 14B,14B,False,0.15,100.0,56.9305,1.3135,"[54.6536, 59.8080]",True,True
Q05,Give me the films in which all the actors are US citizens,Phi-4 14B,14B,False,0.15,100.0,54.6545,0.2845,"[54.5501, 54.7590]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Mistral Nemo 12B,12B,False,0.1,100.0,40.8422,5.5316,"[39.6817, 48.2259]",True,True
Q02,Give me the films whose actors won an Oscar,Mistral Nemo 12B,12B,False,0.1,100.0,26.1176,1.5752,"[25.7966, 28.2824]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Mistral Nemo 12B,12B,False,0.1,100.0,40.9973,0.0879,"[40.9400, 41.2427]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Mistral Nemo 12B,12B,False,0.1,30.0,42.0951,7.119,"[25.1634, 46.7133]",True,True
Q05,Give me the films in which all the actors are US citizens,Mistral Nemo 12B,12B,False,0.1,100.0,34.8551,0.3725,"[34.6880, 36.0198]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Mistral 7B,7B,False,0.15,100.0,4.7682,4.2815,"[3.9806, 10.4410]",True,True
Q02,Give me the films whose actors won an Oscar,Mistral 7B,7B,False,0.15,76.67,7.7118,3.0772,"[3.2598, 12.4795]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Mistral 7B,7B,False,0.15,0.0,6.2976,0.0483,"[6.2664, 6.3803]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Mistral 7B,7B,False,0.15,96.67,4.4186,0.3253,"[4.3298, 5.6038]",True,True
Q05,Give me the films in which all the actors are US citizens,Mistral 7B,7B,False,0.15,100.0,3.7532,0.0046,"[3.7498, 3.7626]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E2B,2B,False,0.05,100.0,13.7418,5.2609,"[12.5803, 20.9986]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E2B,2B,True,0.05,100.0,59.2771,12.5,"[43.6086, 82.8703]",True,True
Q02,Give me the films whose actors won an Oscar,Gemma 4 E2B,2B,False,0.05,100.0,9.9237,1.0285,"[7.8536, 10.6414]",True,True
Q02,Give me the films whose actors won an Oscar,Gemma 4 E2B,2B,True,0.05,100.0,59.0659,5.8585,"[56.9151, 61.2168]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E2B,2B,False,0.05,100.0,10.5794,0.1375,"[10.4468, 10.8506]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E2B,2B,True,0.05,100.0,69.4002,7.2361,"[60.2984, 86.4016]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Gemma 4 E2B,2B,False,0.05,100.0,11.2304,0.2528,"[11.0370, 11.7491]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Gemma 4 E2B,2B,True,0.05,100.0,62.8295,7.7995,"[59.9661, 65.6929]",True,True
Q05,Give me the films in which all the actors are US citizens,Gemma 4 E2B,2B,False,0.05,100.0,12.4271,0.1227,"[12.3254, 12.6629]",True,True
Q05,Give me the films in which all the actors are US citizens,Gemma 4 E2B,2B,True,0.05,100.0,54.9628,8.7337,"[51.7564, 58.1692]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E4B,4B,False,0.05,100.0,15.8027,7.1926,"[14.3954, 25.4146]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E4B,4B,True,0.05,100.0,39.7933,3.9696,"[36.3939, 48.4880]",True,True
Q02,Give me the films whose actors won an Oscar,Gemma 4 E4B,4B,False,0.05,100.0,10.1049,0.256,"[9.9850, 10.4996]",True,True
Q02,Give me the films whose actors won an Oscar,Gemma 4 E4B,4B,True,0.05,100.0,87.9238,24.7762,"[63.1178, 150.3102]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E4B,4B,False,0.05,100.0,9.9553,0.2493,"[9.8169, 10.3354]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E4B,4B,True,0.05,96.67,99.8228,81.5159,"[62.6891, 264.2770]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Gemma 4 E4B,4B,False,0.05,100.0,15.0807,0.2347,"[14.9009, 15.4730]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Gemma 4 E4B,4B,True,0.05,96.67,125.4167,36.9201,"[79.1340, 209.1580]",True,True
Q05,Give me the films in which all the actors are US citizens,Gemma 4 E4B,4B,False,0.05,100.0,12.332,0.2467,"[12.2020, 12.7250]",True,True
Q05,Give me the films in which all the actors are US citizens,Gemma 4 E4B,4B,True,0.05,100.0,82.8757,22.0697,"[63.2543, 136.9494]",True,True
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Llama 3.1 8B,8B,False,0.1,100.0,15.7621,5.0903,"[8.7981, 21.4872]",True,True
Q02,Give me the films whose actors won an Oscar,Llama 3.1 8B,8B,False,0.1,100.0,6.8517,0.0194,"[6.8320, 6.8909]",True,True
Q03,Give me the films featuring more than three actors born after 1980,Llama 3.1 8B,8B,False,0.1,100.0,10.5329,0.9686,"[10.1286, 12.9752]",True,True
Q04,Give me the directors whose surname is the same as that of one of the actors,Llama 3.1 8B,8B,False,0.1,100.0,7.8367,0.0237,"[7.8071, 7.8895]",True,True
Q05,Give me the films in which all the actors are US citizens,Llama 3.1 8B,8B,False,0.1,100.0,7.639,0.0325,"[7.6271, 7.6509]",True,True
