Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,103.6007,7.3763,"[98.0528, 120.0024]",2.8926,True,True,100.2703,116.8673,117.4169
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,139.247,6.8135,"[121.9296, 145.2792]",2.8881,True,True,141.6706,143.1186,144.4036
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,162.4434,0.7246,"[160.3496, 163.3914]",2.8739,True,True,162.5012,163.1746,163.2925
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,135.8345,1.0015,"[134.3926, 137.2643]",2.8907,True,True,135.7166,136.9786,137.0987
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,111.002,21.601,"[85.7425, 133.6313]",2.8836,True,True,115.0656,133.4241,133.5028
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,163.8486,2.9693,"[158.8500, 167.4726]",2.8868,True,True,164.495,167.2536,167.3855
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,0.0,200.9199,12.9196,"[184.8404, 230.7594]",2.8916,True,True,197.0923,215.5215,227.6728
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,0.0,134.3046,13.4218,"[124.0702, 157.9478]",2.8905,True,True,125.921,152.6509,154.1556
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,0.0,163.3236,13.4148,"[137.7140, 186.0303]",2.8863,True,True,162.996,184.4267,185.8899
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,190.2259,8.6605,"[187.0464, 193.4055]",2.8796,True,True,191.514,199.0526,202.0455
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,159.4272,0.914,"[158.2277, 161.0334]",2.898,True,True,159.138,160.8969,161.0159
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,96.67,253.1611,96.8002,"[207.5566, 426.7962]",2.8809,True,True,211.4507,312.136,314.0188
Q13,Give me the movies and its featuring actors that have won an Oscar,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,141.1112,1.769,"[138.6912, 144.9899]",2.8763,True,True,140.9683,142.5512,143.2741
Q14,Give me the people who have directed or acted in more than 5 occasions,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,109.2942,0.731,"[107.9657, 110.6017]",2.8866,True,True,109.3974,109.8267,110.1081
