Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,DeepSeek R1 8B,8B,False,0.1,100.0,15.1178,0.38,"[14.9013, 16.0845]",14.901,True,True,14.9791,16.0383,16.0685
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,DeepSeek R1 8B,8B,False,0.1,90.0,15.4328,1.7889,"[14.4390, 20.6231]",14.9311,True,True,14.8229,16.918,20.6039
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",DeepSeek R1 8B,8B,False,0.1,100.0,21.9957,0.052,"[21.9320, 22.0850]",14.888,True,True,21.9792,22.0725,22.0744
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",DeepSeek R1 8B,8B,False,0.1,100.0,18.5205,0.041,"[18.4608, 18.5753]",14.8953,True,True,18.5215,18.5723,18.573
Q05,Give me the name of the Application that has the most incoming connections from other Applications,DeepSeek R1 8B,8B,False,0.1,100.0,12.9309,1.7195,"[10.9033, 17.4879]",14.9119,True,True,12.3968,13.9223,15.4578
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,DeepSeek R1 8B,8B,False,0.1,100.0,18.1761,0.0404,"[18.1218, 18.2345]",14.8998,True,True,18.1768,18.224,18.2289
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,DeepSeek R1 8B,8B,False,0.1,100.0,23.482,0.0665,"[23.3759, 23.5659]",14.8893,True,True,23.4751,23.5562,23.5621
Q08,Give me the actors whose father is among the top 5 highest-paid directors,DeepSeek R1 8B,8B,False,0.1,90.0,15.2958,1.6567,"[14.2505, 19.3155]",14.9276,True,True,14.508,18.4573,19.2465
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,DeepSeek R1 8B,8B,False,0.1,93.33,21.5923,1.1005,"[20.5655, 25.0070]",14.8888,True,True,21.1823,22.1924,23.7235
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,DeepSeek R1 8B,8B,False,0.1,100.0,22.2381,1.1622,"[20.5403, 23.3420]",14.8843,True,True,22.7266,23.3151,23.3284
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,DeepSeek R1 8B,8B,False,0.1,100.0,15.7696,1.6487,"[13.5270, 17.3135]",14.9024,True,True,16.9166,16.9597,16.9636
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,DeepSeek R1 8B,8B,False,0.1,100.0,20.0982,1.6245,"[17.7419, 25.2846]",14.8872,True,True,19.7815,21.1854,23.6518
Q13,Give me the movies and its featuring actors that have won an Oscar,DeepSeek R1 8B,8B,False,0.1,100.0,11.8978,0.0266,"[11.8386, 11.9275]",14.9194,True,True,11.9014,11.9195,11.9255
Q14,Give me the people who have directed or acted in more than 5 occasions,DeepSeek R1 8B,8B,False,0.1,100.0,15.5547,0.0595,"[15.4332, 15.5851]",14.9162,True,True,15.5671,15.5793,15.5828
Q01,Give me the movies that have more than four actors with the same birth year,Ministral 3 3B,3B,False,0.05,100.0,4.4237,0.2884,"[4.2535, 5.1089]",67.0138,True,True,4.2755,5.0915,5.0966
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Ministral 3 3B,3B,False,0.05,96.67,6.3235,0.8933,"[4.8555, 7.5492]",66.8542,True,True,6.5473,7.533,7.5405
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 3B,3B,False,0.05,100.0,5.5738,0.2342,"[5.2126, 5.7374]",66.8925,True,True,5.7226,5.7331,5.7357
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Ministral 3 3B,3B,False,0.05,100.0,5.5469,0.0145,"[5.5308, 5.5827]",66.8359,True,True,5.5439,5.5628,5.5715
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Ministral 3 3B,3B,False,0.05,100.0,5.1189,0.1481,"[4.8321, 5.3811]",66.8242,True,True,5.1082,5.2306,5.2471
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Ministral 3 3B,3B,False,0.05,100.0,6.2717,0.2687,"[5.9043, 6.6473]",66.7764,True,True,6.1944,6.6313,6.6373
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Ministral 3 3B,3B,False,0.05,96.67,7.5771,9.8735,"[5.6044, 21.7350]",66.6545,True,True,5.6242,6.709,7.0716
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Ministral 3 3B,3B,False,0.05,100.0,6.5232,0.8455,"[5.6987, 8.7463]",66.8393,True,True,6.4111,6.5613,7.4434
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Ministral 3 3B,3B,False,0.05,100.0,5.6587,0.1542,"[5.6172, 5.8741]",66.8806,True,True,5.6305,5.6422,5.6455
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Ministral 3 3B,3B,False,0.05,56.67,6.4299,0.3311,"[5.8771, 6.7923]",66.8566,True,True,6.5514,6.7767,6.7888
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Ministral 3 3B,3B,False,0.05,100.0,5.3503,0.2003,"[4.9920, 5.5122]",66.8768,True,True,5.4268,5.4952,5.5025
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Ministral 3 3B,3B,False,0.05,86.67,14.1435,2.062,"[9.1326, 16.1520]",66.229,True,True,14.6631,16.1315,16.1457
Q13,Give me the movies and its featuring actors that have won an Oscar,Ministral 3 3B,3B,False,0.05,100.0,4.7087,0.0063,"[4.7063, 4.7110]",66.9174,True,True,4.71,4.7148,4.7196
Q14,Give me the people who have directed or acted in more than 5 occasions,Ministral 3 3B,3B,False,0.05,100.0,5.1654,0.3802,"[5.0108, 6.1247]",66.8988,True,True,5.0193,6.1103,6.119
Q01,Give me the movies that have more than four actors with the same birth year,Ministral 3 8B,8B,False,0.15,100.0,43.2803,0.1585,"[43.0328, 43.4384]",5.7264,True,True,43.2695,43.4207,43.4315
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Ministral 3 8B,8B,False,0.15,100.0,58.5167,4.3824,"[56.1904, 68.1063]",5.7025,True,True,56.43,67.4831,67.6033
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 8B,8B,False,0.15,100.0,61.5435,0.9554,"[59.8401, 63.1010]",5.5443,True,True,61.1315,62.4315,62.7219
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Ministral 3 8B,8B,False,0.15,90.0,387.6471,1329.2048,"[79.5769, 2332.1619]",5.5271,True,True,111.7561,304.685,403.5414
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Ministral 3 8B,8B,False,0.15,100.0,33.8577,1.4859,"[32.2527, 36.4098]",5.5814,True,True,33.9169,35.1616,35.9054
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Ministral 3 8B,8B,False,0.15,100.0,62.7599,1.9004,"[61.9417, 69.6507]",5.5327,True,True,62.1682,62.9358,66.6315
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Ministral 3 8B,8B,False,0.15,100.0,123.2094,26.88,"[94.9972, 197.5165]",5.503,True,True,118.9517,133.9355,160.8607
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Ministral 3 8B,8B,False,0.15,100.0,87.7934,17.5354,"[65.6242, 124.2522]",5.5256,True,True,82.3755,114.785,120.6241
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Ministral 3 8B,8B,False,0.15,100.0,58.1313,1.1012,"[56.1581, 59.0670]",5.5468,True,True,58.6356,58.7457,58.7575
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Ministral 3 8B,8B,False,0.15,100.0,89.9581,9.4139,"[80.7622, 104.0544]",5.5265,True,True,85.3821,103.7637,103.7961
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Ministral 3 8B,8B,False,0.15,100.0,70.4618,7.2769,"[61.6563, 76.7694]",5.5345,True,True,76.6243,76.7067,76.7114
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Ministral 3 8B,8B,False,0.15,96.67,112.7485,37.3546,"[63.2102, 165.7730]",5.5038,True,True,118.6798,162.4119,164.3755
Q13,Give me the movies and its featuring actors that have won an Oscar,Ministral 3 8B,8B,False,0.15,100.0,58.6121,5.0827,"[52.3190, 71.0558]",5.5334,True,True,58.1715,64.334,69.9784
Q14,Give me the people who have directed or acted in more than 5 occasions,Ministral 3 8B,8B,False,0.15,100.0,43.4399,0.0258,"[43.4095, 43.5082]",5.5576,True,True,43.4368,43.4656,43.4871
Q01,Give me the movies that have more than four actors with the same birth year,Ministral 3 14B,14B,False,0.1,100.0,124.3084,4.9005,"[119.3289, 133.3791]",2.246,True,True,121.7936,131.1165,132.9476
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Ministral 3 14B,14B,False,0.1,100.0,155.3095,0.6311,"[155.0778, 155.5412]",2.2426,True,True,155.3418,155.9305,156.0227
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 14B,14B,False,0.1,100.0,152.6549,8.2731,"[144.3003, 161.9397]",2.2349,True,True,145.895,161.64,161.8603
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Ministral 3 14B,14B,False,0.1,100.0,266.2541,31.1522,"[254.8172, 277.6910]",2.3233,True,True,270.3861,303.6792,313.208
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Ministral 3 14B,14B,False,0.1,100.0,126.2653,28.084,"[91.3404, 158.8999]",2.4243,True,True,137.9918,158.6511,158.7654
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Ministral 3 14B,14B,False,0.1,100.0,147.3146,13.4661,"[131.8334, 179.4775]",2.4248,True,True,144.9817,179.4493,179.4642
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Ministral 3 14B,14B,False,0.1,100.0,368.6581,112.9083,"[232.4082, 600.3843]",2.3607,True,True,291.4238,504.6255,561.7747
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Ministral 3 14B,14B,False,0.1,90.0,223.1869,53.7056,"[174.9441, 321.2992]",2.3609,True,True,193.7779,301.9181,302.9621
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Ministral 3 14B,14B,False,0.1,33.33,247.2996,73.0124,"[158.7784, 335.6597]",2.3583,True,True,297.5657,333.8243,334.9969
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Ministral 3 14B,14B,False,0.1,100.0,177.2321,19.3207,"[159.1859, 224.0482]",2.3714,True,True,170.7233,198.7077,222.8927
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Ministral 3 14B,14B,False,0.1,86.67,185.8509,21.7862,"[150.3368, 214.4972]",2.3808,True,True,185.0745,213.6697,214.1499
