Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",DeepSeek R1 8B,8B,False,0.1,100.0,21.9957,0.052,"[21.9320, 22.0850]",14.888,True,True,21.9792,22.0725,22.0744
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 3B,3B,False,0.05,100.0,5.5738,0.2342,"[5.2126, 5.7374]",66.8925,True,True,5.7226,5.7331,5.7357
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 8B,8B,False,0.15,100.0,61.5435,0.9554,"[59.8401, 63.1010]",5.5443,True,True,61.1315,62.4315,62.7219
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 14B,14B,False,0.1,100.0,152.6549,8.2731,"[144.3003, 161.9397]",2.2349,True,True,145.895,161.64,161.8603
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Mistral Nemo 12B,12B,False,0.15,96.67,103.3494,3.448,"[99.9171, 111.8132]",2.9605,True,True,102.572,104.736,108.0424
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Mistral 7B,7B,False,0.15,96.67,29.0862,0.6757,"[27.4247, 29.9975]",12.5215,True,True,29.1753,29.4572,29.533
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Phi-4 14B,14B,False,0.15,100.0,152.6085,0.6194,"[151.0011, 153.4774]",1.8653,True,True,152.6892,153.187,153.2982
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 E2B,2B,False,0.05,100.0,20.6271,0.1729,"[20.4917, 20.9276]",17.6043,True,True,20.6104,20.6678,20.6985
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 E2B,2B,True,0.05,56.67,54.4256,4.9343,"[52.6141, 56.2372]",17.9803,True,True,54.1626,60.7719,61.7421
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 E4B,4B,False,0.05,100.0,31.2897,0.4331,"[30.7402, 31.9724]",12.6222,True,True,31.2512,31.3362,31.4002
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 E4B,4B,True,0.05,100.0,102.0613,21.2793,"[94.2490, 109.8736]",12.6049,True,True,100.633,128.6985,133.9329
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 26B,26B,False,0.05,100.0,132.0203,1.5496,"[131.3801, 135.3182]",3.5794,True,True,131.65,131.9446,133.6046
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Qwen 3.5 9B,9B,False,0.1,100.0,87.1352,0.1468,"[86.7701, 87.3245]",4.3811,True,True,87.1393,87.2544,87.2691
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,162.4434,0.7246,"[160.3496, 163.3914]",2.8739,True,True,162.5012,163.1746,163.2925
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Llama 3.1 8B,8B,False,0.1,100.0,38.1945,0.042,"[38.1003, 38.2572]",8.4935,True,True,38.1945,38.212,38.2169
