Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Ministral 3 14B,14B,False,0.1,100.0,380.7885,81.3675,2.0617,True,True,420.6106,449.1822,449.3773
Q02,Give me each Queen of England along with the list of their residences.,Ministral 3 14B,14B,False,0.1,100.0,168.4024,8.3911,2.0798,True,True,168.6922,176.2374,176.5231
Q03,Give me the third-degree relatives of Alfonso X.,Ministral 3 14B,14B,False,0.1,100.0,130.6947,11.5642,2.0894,True,True,136.8321,140.3419,140.6443
Q04,Give me all the groups that directly or indirectly influenced Queen.,Ministral 3 14B,14B,False,0.1,100.0,168.7353,43.9202,2.0838,True,True,152.662,212.6637,228.0553
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Ministral 3 14B,14B,False,0.1,100.0,421.7561,61.2844,2.0594,True,True,439.0384,465.0859,465.2412
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Ministral 3 14B,14B,False,0.1,100.0,105.9656,0.2099,2.0915,True,True,105.9494,106.1779,106.2302
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Ministral 3 14B,14B,False,0.1,100.0,266.3116,80.3402,2.0733,True,True,285.6197,341.5901,342.6799
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Ministral 3 14B,14B,False,0.1,100.0,131.3938,0.6739,2.0856,True,True,131.3354,132.0806,132.0816
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.1,100.0,274.5451,33.9887,2.0737,True,True,258.4759,311.1164,320.5696
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Ministral 3 14B,14B,False,0.1,100.0,313.9313,59.5227,2.0699,True,True,312.5846,375.9591,386.8336
