Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Eval Count,Response
1,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.906388,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
2,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.87721,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
3,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.873445,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
4,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.837884,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
5,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.865373,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
6,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.850142,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
7,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.885081,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
8,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.844825,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
9,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.84003,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
10,Q02,Give me the films whose actors won an Oscar,llama3.1:8b,False,0.1,6.83212,True,stop,1653,115,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""cmp"": {
                ""left"": { ""attr"": ""won_oscar"" },
                ""op"": ""="",
                ""right"": true
              }
            }
          }
        }
      }
    }
  ]
}
```"
