Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Gemma 4 26B,26B,False,0.025,100.0,114.054,4.1638,3.5799,True,True,113.0586,118.0128,119.613
Q02,Give me each Queen of England along with the list of their residences.,Gemma 4 26B,26B,False,0.025,100.0,77.2011,0.1896,3.5556,True,True,77.114,77.3975,77.4629
Q03,Give me the third-degree relatives of Alfonso X.,Gemma 4 26B,26B,False,0.025,100.0,78.3127,0.1764,3.5555,True,True,78.2912,78.4799,78.5363
Q04,Give me all the groups that directly or indirectly influenced Queen.,Gemma 4 26B,26B,False,0.025,100.0,74.0273,0.0541,3.5596,True,True,74.0162,74.0845,74.0941
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Gemma 4 26B,26B,False,0.025,100.0,246.6306,342.5347,3.5971,True,True,93.4511,553.0106,706.193
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Gemma 4 26B,26B,False,0.025,100.0,76.9605,9.6959,3.7276,True,True,72.6445,85.6502,89.9776
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Gemma 4 26B,26B,False,0.025,100.0,104.5684,15.429,3.5493,True,True,111.3939,111.6824,111.7042
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Gemma 4 26B,26B,False,0.025,100.0,114.9211,0.0537,3.6557,True,True,114.9439,114.9643,114.969
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.025,100.0,123.0902,0.0757,3.6108,True,True,123.0542,123.174,123.1909
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Gemma 4 26B,26B,False,0.025,100.0,293.0691,317.535,3.584,True,True,153.8091,579.0394,720.0445
