Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Which movies have more than four actors with the same birth year?,Ministral 3 3B,3B,False,0.05,100.0,7.5254,0.0073,"[7.5228, 7.5281]",65.8827,True,True,7.5241,7.5344,7.5383
Q02,Which movies have more than four actors born in the same year as another actor in the cast?,Ministral 3 3B,3B,False,0.05,100.0,8.1526,0.1605,"[7.6464, 8.2320]",65.9161,True,True,8.2077,8.2278,8.2301
Q03,"Tell me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Ministral 3 3B,3B,False,0.05,100.0,7.6069,0.0066,"[7.6045, 7.6093]",65.8718,True,True,7.6054,7.6147,7.6169
Q04,"Find the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Ministral 3 3B,3B,False,0.05,100.0,8.3558,0.0674,"[8.3073, 8.4871]",65.8586,True,True,8.3231,8.4715,8.485
Q05,What is the name of the Application that has the most incoming connections from other Applications?,Ministral 3 3B,3B,False,0.05,3.33,6.6298,0.0439,"[6.5622, 6.6467]",65.9131,True,True,6.6374,6.6446,6.6452
Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Ministral 3 3B,3B,False,0.05,100.0,7.8443,0.0856,"[7.6803, 7.9013]",65.8705,True,True,7.8884,7.8972,7.8993
Q07,Which movies has an actor with more salary than Meryl Streep and Clint Eastwood together?,Ministral 3 3B,3B,False,0.05,100.0,9.8487,0.3952,"[9.2677, 10.5079]",65.7947,True,True,9.6902,10.3306,10.3695
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Ministral 3 3B,3B,False,0.05,90.0,7.927,0.3857,"[7.5154, 8.7154]",65.7603,True,True,7.8042,8.509,8.6767
Q09,Which movies have no actors that have work with Meryl Streep in any movie?,Ministral 3 3B,3B,False,0.05,100.0,9.7257,0.0114,"[9.7215, 9.7298]",65.7049,True,True,9.7265,9.7402,9.7421
Q10,Movies where all the main actors have won more awards than any Argentine actor,Ministral 3 3B,3B,False,0.05,100.0,9.1262,0.2181,"[8.7637, 9.2854]",65.7437,True,True,9.268,9.2808,9.2835
Q11,Which actors got married in 1980 where one of them appears in The Matrix?,Ministral 3 3B,3B,False,0.05,100.0,7.2738,1.124,"[6.7521, 10.2179]",65.7658,True,True,6.7622,9.0324,10.2162
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Ministral 3 3B,3B,False,0.05,96.67,18.0347,7.8201,"[13.2529, 30.6543]",65.7505,True,True,16.7515,19.8229,20.1858
Q13,List the movies and its featuring actors that have won an Oscar,Ministral 3 3B,3B,False,0.05,100.0,7.9256,0.3561,"[6.9322, 8.1291]",65.7797,True,True,8.0887,8.1236,8.127
Q14,People who have directed or acted in more than 5 occasions,Ministral 3 3B,3B,False,0.05,90.0,9.1497,0.5153,"[8.6141, 10.4449]",65.7089,True,True,9.4206,9.4458,9.9969
