Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,Mistral 7B,7B,False,0.15,40.0,30.0252,7.1991,"[22.9936, 43.8762]",11.8251,True,True,30.3289,32.4266,34.9696
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Mistral 7B,7B,False,0.15,83.33,47.1087,7.8365,"[31.5670, 58.2678]",11.6915,True,True,48.7517,56.7059,56.9308
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Mistral 7B,7B,False,0.15,96.67,29.0862,0.6757,"[27.4247, 29.9975]",12.5215,True,True,29.1753,29.4572,29.533
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Mistral 7B,7B,False,0.15,90.0,37.3327,10.7772,"[23.4761, 52.6055]",12.1996,True,True,31.0867,50.6382,52.1596
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Mistral 7B,7B,False,0.15,3.33,28.3308,3.9706,"[23.6777, 37.5170]",12.3527,True,True,26.8,33.8478,36.4007
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Mistral 7B,7B,False,0.15,93.33,50.3252,26.3812,"[34.5594, 109.2322]",12.1893,True,True,42.9257,60.1182,82.7786
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Mistral 7B,7B,False,0.15,90.0,51.8141,8.4147,"[43.6494, 75.6976]",12.2461,True,True,52.2039,60.6532,72.1532
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Mistral 7B,7B,False,0.15,83.33,52.1645,27.9953,"[34.9195, 116.7097]",12.1912,True,True,41.3241,99.999,100.6739
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Mistral 7B,7B,False,0.15,3.33,24.913,2.991,"[23.5956, 33.1055]",12.5767,True,True,23.9083,26.1883,31.5477
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Mistral 7B,7B,False,0.15,100.0,35.5321,2.4733,"[32.6964, 39.2553]",12.3357,True,True,35.0537,38.0976,38.6795
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Mistral 7B,7B,False,0.15,60.0,34.8264,10.9492,"[25.0849, 55.2830]",12.2854,True,True,33.7875,40.0834,42.2145
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Mistral 7B,7B,False,0.15,56.67,67.2764,31.3146,"[34.3907, 138.8026]",12.2006,True,True,59.0922,97.8488,119.1647
Q13,Give me the movies and its featuring actors that have won an Oscar,Mistral 7B,7B,False,0.15,93.33,33.5477,8.2188,"[23.1451, 49.8353]",12.2125,True,True,33.1782,46.0224,48.7921
Q14,Give me the people who have directed or acted in more than 5 occasions,Mistral 7B,7B,False,0.15,100.0,28.0436,0.1496,"[27.7955, 28.2546]",12.501,True,True,28.0524,28.1658,28.2211
