Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q02,Give me the films whose actors won an Oscar,Ministral 3 8B,8B,False,0.1,100.0,20.4977,0.1939,"[19.8324, 20.6822]",5.4184,True,True,20.5448,20.569,20.6168
Q02,Give me the films whose actors won an Oscar,Phi-4 14B,14B,False,0.15,100.0,54.2075,7.835,"[42.4722, 62.5588]",2.3496,True,True,50.6236,62.5097,62.5395
Q02,Give me the films whose actors won an Oscar,Mistral Nemo 12B,12B,False,0.1,100.0,26.2725,1.7052,"[25.7904, 30.8914]",3.633,True,True,25.8263,26.169,28.191
Q02,Give me the films whose actors won an Oscar,Mistral 7B,7B,False,0.15,66.67,6.9527,2.3617,"[3.7325, 10.8341]",66.1505,True,True,6.6364,10.5149,10.5182
Q02,Give me the films whose actors won an Oscar,Gemma 4 E2B,2B,False,0.05,100.0,9.7502,1.1153,"[7.8717, 10.6098]",17.5562,True,True,10.3528,10.4292,10.4578
Q02,Give me the films whose actors won an Oscar,Gemma 4 E2B,2B,True,0.05,100.0,60.0969,6.4404,"[57.7324, 62.4613]",18.0386,True,True,59.9344,67.9257,73.0832
Q02,Give me the films whose actors won an Oscar,Gemma 4 E4B,4B,False,0.05,100.0,10.2724,0.2514,"[10.1048, 10.7260]",12.5318,True,True,10.2614,10.3963,10.4318
Q02,Give me the films whose actors won an Oscar,Gemma 4 E4B,4B,True,0.05,100.0,95.801,22.9953,"[87.3587, 104.2432]",12.4649,True,True,94.0801,127.9392,136.0356
Q02,Give me the films whose actors won an Oscar,Gemma 4 26B,26B,False,0.05,100.0,63.7577,0.0506,"[63.7392, 63.7763]",3.4123,True,True,63.7588,63.8261,63.8368
Q02,Give me the films whose actors won an Oscar,Llama 3.1 8B,8B,False,0.1,100.0,6.8778,0.0187,"[6.8510, 6.9208]",18.0285,True,True,6.8725,6.9015,6.9116
