Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the films directed by Eastwood and starring Meryl Streep,DeepSeek R1 8B,8B,False,0.1,100.0,3.3141,0.0099,"[3.3104, 3.3177]",47.3632,True,True,3.3144,3.3251,3.3268
Q01,Give me the films directed by Eastwood and starring Meryl Streep,DeepSeek R1 8B,8B,True,0.1,100.0,32.1464,5.8401,"[30.0023, 34.2904]",45.8371,True,True,31.3957,40.1923,42.1125
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Ministral 3 8B,8B,False,0.15,100.0,24.3388,0.0949,"[24.1522, 24.4539]",6.0071,True,True,24.3811,24.4184,24.4316
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Phi-4 14B,14B,False,0.15,100.0,61.258,0.2158,"[61.1788, 61.3372]",2.3669,True,True,61.2989,61.5018,61.5476
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Mistral Nemo 12B,12B,False,0.15,100.0,40.1823,0.0336,"[40.1433, 40.2484]",3.6319,True,True,40.1689,40.2339,40.239
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Mistral 7B,7B,False,0.15,100.0,3.2221,0.0097,"[3.2185, 3.2256]",90.835,True,True,3.2233,3.2314,3.2347
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E2B,2B,False,0.1,100.0,12.6268,0.2999,"[11.7821, 12.8885]",17.2047,True,True,12.7058,12.856,12.8786
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E2B,2B,True,0.1,100.0,65.8052,12.0398,"[61.3850, 70.2254]",17.8142,True,True,68.0226,76.8125,81.4716
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E4B,4B,False,0.1,100.0,14.5712,0.0352,"[14.5291, 14.6410]",12.5922,True,True,14.5699,14.6074,14.6258
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 E4B,4B,True,0.1,100.0,38.5702,4.8492,"[31.0847, 48.7533]",12.5714,True,True,38.5416,43.3431,46.2936
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Gemma 4 26B,26B,False,0.1,100.0,58.1287,0.082,"[58.0378, 58.2855]",3.4168,True,True,58.1248,58.1746,58.1981
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Qwen 3.5 9B,9B,False,0.1,100.0,38.7042,1.2611,"[36.7728, 39.8650]",4.841,True,True,39.4244,39.7572,39.8342
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,79.2433,1.2089,"[78.5483, 82.2179]",3.0378,True,True,78.9201,79.9041,80.7522
Q01,Give me the films directed by Eastwood and starring Meryl Streep,Llama 3.1 8B,8B,False,0.1,100.0,16.1506,3.7915,"[8.6644, 18.1071]",18.1304,True,True,17.988,18.0728,18.0955
