Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,Phi-4 14B,14B,False,0.15,100.0,132.2465,24.8829,"[101.3705, 171.0742]",1.8696,True,True,131.6103,164.4491,169.3294
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Phi-4 14B,14B,False,0.15,100.0,188.0483,23.8169,"[157.3600, 227.4238]",1.8568,True,True,189.8087,209.2178,211.6977
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Phi-4 14B,14B,False,0.15,100.0,152.6085,0.6194,"[151.0011, 153.4774]",1.8653,True,True,152.6892,153.187,153.2982
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Phi-4 14B,14B,False,0.15,100.0,170.5684,34.1811,"[108.5492, 215.2767]",1.8612,True,True,185.4452,201.6106,208.7528
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Phi-4 14B,14B,False,0.15,100.0,102.1863,12.5066,"[83.7350, 124.1470]",1.8771,True,True,98.6719,117.8191,120.6598
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Phi-4 14B,14B,False,0.15,100.0,142.9356,21.7181,"[123.4612, 174.9525]",1.864,True,True,131.6957,174.5609,174.8974
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Phi-4 14B,14B,False,0.15,83.33,236.0774,54.8678,"[157.6895, 341.9309]",1.8554,True,True,232.0964,340.6266,341.2754
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Phi-4 14B,14B,False,0.15,83.33,111.1758,14.7596,"[102.6898, 143.9938]",1.8759,True,True,103.4121,142.2784,143.2138
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Phi-4 14B,14B,False,0.15,100.0,139.9276,18.4229,"[129.9907, 188.7986]",1.8653,True,True,130.9054,164.308,174.9371
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Phi-4 14B,14B,False,0.15,100.0,190.3045,8.8712,"[184.1145, 208.6170]",1.8641,True,True,185.8135,205.897,206.3891
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Phi-4 14B,14B,False,0.15,100.0,208.5717,31.612,"[196.9660, 220.1774]",1.8605,True,True,208.9967,257.8632,266.973
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Phi-4 14B,14B,False,0.15,90.0,292.3913,82.1228,"[262.2415, 322.5410]",1.8527,True,True,280.4702,365.5319,419.7994
Q13,Give me the movies and its featuring actors that have won an Oscar,Phi-4 14B,14B,False,0.15,100.0,123.7111,11.8713,"[95.6469, 133.6798]",1.8797,True,True,127.5267,133.3522,133.5098
Q14,Give me the people who have directed or acted in more than 5 occasions,Phi-4 14B,14B,False,0.15,100.0,154.0608,8.0499,"[132.6157, 162.3666]",1.866,True,True,154.1386,161.8677,162.1937
