Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Ministral 3 14B,14B,False,0.1,100.0,317.0468,8.0873,2.2621,True,True,314.5896,324.7279,328.0309
Q02,Give me each Queen of England along with the list of their residences.,Ministral 3 14B,14B,False,0.1,100.0,114.7613,0.8323,2.2927,True,True,114.4761,115.613,115.8986
Q03,Give me the third-degree relatives of Alfonso X.,Ministral 3 14B,14B,False,0.1,100.0,189.5939,98.6688,2.2746,True,True,124.4933,301.1428,316.6362
Q04,Give me all the groups that directly or indirectly influenced Queen.,Ministral 3 14B,14B,False,0.1,100.0,229.4283,19.6015,2.272,True,True,242.5974,244.3022,244.3041
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Ministral 3 14B,14B,False,0.1,100.0,307.2146,73.553,2.2642,True,True,259.099,389.6715,395.5932
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Ministral 3 14B,14B,False,0.1,100.0,97.1495,1.3304,2.2977,True,True,96.5841,98.5487,98.976
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Ministral 3 14B,14B,False,0.1,100.0,229.168,28.9259,2.2717,True,True,238.1877,249.8725,253.6156
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Ministral 3 14B,14B,False,0.1,100.0,359.454,91.0397,2.2592,True,True,379.7849,437.0824,446.6749
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.1,80.0,509.1285,509.0312,2.2131,True,True,271.8469,989.2731,1203.0828
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Ministral 3 14B,14B,False,0.1,80.0,362.5465,78.3543,2.2622,True,True,406.6129,423.2056,428.254
