Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Mistral Nemo 12B,12B,False,0.15,100.0,78.0184,2.8489,"[76.9725, 79.0644]",2.9576,True,True,78.539,81.2895,82.3092
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Mistral 7B,7B,False,0.15,83.33,52.1645,27.9953,"[34.9195, 116.7097]",12.1912,True,True,41.3241,99.999,100.6739
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Phi-4 14B,14B,False,0.15,83.33,111.1758,14.7596,"[102.6898, 143.9938]",1.8759,True,True,103.4121,142.2784,143.2138
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 E2B,2B,False,0.05,93.33,23.6873,1.1704,"[19.4369, 24.3487]",17.7828,True,True,23.9268,24.0736,24.1237
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 E2B,2B,True,0.05,40.0,54.4345,7.1229,"[51.8195, 57.0495]",18.0191,True,True,53.0408,63.0718,66.7007
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 E4B,4B,False,0.05,100.0,38.5311,6.4388,"[25.9233, 42.5647]",12.6344,True,True,42.3325,42.5169,42.5518
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 E4B,4B,True,0.05,80.0,150.5372,11.9825,"[127.0455, 165.1531]",12.6171,True,True,151.8446,164.9761,165.074
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 26B,26B,False,0.05,100.0,133.3768,2.1937,"[129.8427, 136.0750]",3.5087,True,True,133.4115,135.9444,136.0498
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Qwen 3.5 9B,9B,False,0.1,96.67,97.336,78.9043,"[66.1381, 300.7113]",4.3738,True,True,70.5706,122.6536,190.745
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,0.0,134.3046,13.4218,"[124.0702, 157.9478]",2.8905,True,True,125.921,152.6509,154.1556
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Llama 3.1 8B,8B,False,0.1,100.0,32.1449,2.3129,"[24.2406, 33.2953]",8.4854,True,True,33.254,33.28,33.2878
