Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Ministral 3 14B,14B,False,0.1,100.0,385.6374,50.3723,2.215,True,True,388.1881,436.044,438.0542
Q02,Give me each Queen of England along with the list of their residences.,Ministral 3 14B,14B,False,0.1,100.0,116.8123,0.1341,2.2405,True,True,116.7857,116.9404,116.9433
Q03,Give me the third-degree relatives of Alfonso X.,Ministral 3 14B,14B,False,0.1,100.0,128.0776,1.5391,2.2425,True,True,127.4843,129.5429,130.176
Q04,Give me all the groups that directly or indirectly influenced Queen.,Ministral 3 14B,14B,False,0.1,100.0,109.0415,53.2346,2.2409,True,True,79.557,163.1608,182.7208
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Ministral 3 14B,14B,False,0.1,100.0,312.8163,134.2169,2.2179,True,True,377.3573,430.9712,448.801
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Ministral 3 14B,14B,False,0.1,100.0,101.1319,1.4233,2.2476,True,True,101.511,102.0548,102.0949
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Ministral 3 14B,14B,False,0.1,100.0,207.7769,36.0008,2.2301,True,True,227.8479,236.9353,236.9746
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Ministral 3 14B,14B,False,0.1,100.0,296.7047,115.4643,2.2191,True,True,276.627,419.1533,441.585
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.1,60.0,761.0023,617.4727,2.1609,True,True,311.4173,1437.5422,1437.8088
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Ministral 3 14B,14B,False,0.1,80.0,294.1703,127.8375,2.2186,True,True,211.9505,438.1138,461.8961
