Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Eval Count,Response
1,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.745939,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
2,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.050213,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
3,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.073311,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
4,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.063643,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
5,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.030984,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
6,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.123752,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
7,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.084629,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
8,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.05436,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
9,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.695702,True,stop,1893,193,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          {
            ""id"": ""e1"",
            ""type"": ""Person"",
            ""name"": ""Director""
          },
          {
            ""id"": ""e2"",
            ""type"": ""Person"",
            ""name"": ""Actor""
          }
        ],
        ""where"": {
          ""exists"": {
            ""rel"": ""surname"",
            ""to"": ""e1"",
            ""where"": {
              ""exists"": {
                ""rel"": ""surname"",
                ""to"": ""e2""
              }
            }
          }
        }
      }
    }
  ]
}
```"
10,Q04,Give me the directors whose surname is the same as that of one of the actors,gemma4:e2b,False,0.05,11.039223,True,stop,1893,183,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Director"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Director"" },
          { ""id"": ""e2"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""or"": [
            {
              ""rel"": ""surname"",
              ""to"": ""e1"",
              ""where"": {
                ""exists"": {
                  ""rel"": ""surname"",
                  ""to"": ""e2""
                }
              }
            }
          ]
        }
      }
    }
  ]
}
```"
