Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Gemma 4 26B,26B,False,0.05,100.0,122.7379,1.1469,3.5665,True,True,122.2515,123.7861,124.2867
Q02,Give me each Queen of England along with the list of their residences.,Gemma 4 26B,26B,False,0.05,100.0,71.6713,1.5306,3.5719,True,True,71.0046,73.0533,73.731
Q03,Give me the third-degree relatives of Alfonso X.,Gemma 4 26B,26B,False,0.05,100.0,91.8582,0.5803,3.5669,True,True,92.1213,92.1377,92.1402
Q04,Give me all the groups that directly or indirectly influenced Queen.,Gemma 4 26B,26B,False,0.05,100.0,68.1954,0.3004,3.5259,True,True,68.3127,68.362,68.3705
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Gemma 4 26B,26B,False,0.05,100.0,135.1134,95.6704,3.4982,True,True,92.3625,220.7251,263.4894
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Gemma 4 26B,26B,False,0.05,100.0,87.0574,0.1196,3.5706,True,True,87.0027,87.1853,87.1876
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Gemma 4 26B,26B,False,0.05,100.0,87.5075,6.5393,3.5218,True,True,84.5895,93.3666,96.286
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Gemma 4 26B,26B,False,0.05,100.0,117.7988,0.098,3.5683,True,True,117.7935,117.8993,117.9258
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.05,100.0,125.7667,0.0899,3.5673,True,True,125.7265,125.8505,125.8889
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Gemma 4 26B,26B,False,0.05,100.0,210.4503,141.3408,3.5485,True,True,147.2694,336.8831,400.0857
