Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,142.0639,17.5923,2.9317,True,True,141.2394,160.5307,163.5797
Q02,Give me each Queen of England along with the list of their residences.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,96.9781,0.63,2.9378,True,True,96.8751,97.6165,97.7561
Q03,Give me the third-degree relatives of Alfonso X.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,106.8657,4.4755,2.9269,True,True,105.0213,110.961,112.9119
Q04,Give me all the groups that directly or indirectly influenced Queen.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,60.0,83.0273,1.624,2.942,True,True,83.7776,84.42,84.4467
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,104.1983,1.3854,2.9383,True,True,103.5718,105.6872,105.7564
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,111.5275,1.0825,2.9385,True,True,111.5868,112.527,112.7932
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,82.7204,10.9562,2.9328,True,True,77.8665,92.609,97.4632
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,91.2557,3.2725,2.9319,True,True,93.3867,93.8091,93.8932
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,140.8351,15.95,2.9319,True,True,138.2828,156.3353,162.2927
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,141.074,8.6102,2.9243,True,True,142.8946,147.1897,147.4149
