Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Which movies have more than four actors with the same birth year?,Gemma 4 E2B,2B,False,0.05,100.0,14.5541,2.0527,"[9.6380, 18.4747]",18.1255,True,True,14.5393,16.4713,17.0733
Q01,Which movies have more than four actors with the same birth year?,Gemma 4 E2B,2B,True,0.05,100.0,14.2553,1.6288,"[10.9461, 16.5317]",18.0731,True,True,14.4442,15.9623,16.332
Q02,Which movies have more than four actors born in the same year as another actor in the cast?,Gemma 4 E2B,2B,False,0.05,100.0,4.5241,0.0171,"[4.5178, 4.5304]",18.7459,True,True,4.5223,4.5444,4.5525
Q02,Which movies have more than four actors born in the same year as another actor in the cast?,Gemma 4 E2B,2B,True,0.05,100.0,10.967,0.9899,"[9.9277, 12.5356]",18.2554,True,True,10.3256,12.3023,12.3108
Q03,"Tell me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 E2B,2B,False,0.05,100.0,5.5109,0.023,"[5.5025, 5.5193]",18.2468,True,True,5.5105,5.5469,5.5501
Q03,"Tell me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 E2B,2B,True,0.05,100.0,5.5089,0.0219,"[5.5008, 5.5169]",18.2371,True,True,5.512,5.5378,5.5444
Q04,"Find the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Gemma 4 E2B,2B,False,0.05,100.0,5.719,0.5314,"[5.1483, 6.4836]",18.5122,True,True,5.8478,6.4343,6.4615
Q04,"Find the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Gemma 4 E2B,2B,True,0.05,100.0,4.8053,0.4777,"[4.2030, 5.2099]",18.7162,True,True,5.1696,5.2043,5.2089
Q05,What is the name of the Application that has the most incoming connections from other Applications?,Gemma 4 E2B,2B,False,0.05,100.0,4.9542,0.0193,"[4.9471, 4.9613]",18.318,True,True,4.9582,4.9756,4.9783
Q05,What is the name of the Application that has the most incoming connections from other Applications?,Gemma 4 E2B,2B,True,0.05,100.0,5.7196,0.3761,"[5.2827, 6.2676]",18.1762,True,True,5.7917,6.2549,6.2618
Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Gemma 4 E2B,2B,False,0.05,100.0,5.985,0.0193,"[5.9779, 5.9921]",18.3842,True,True,5.9823,6.007,6.0162
Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Gemma 4 E2B,2B,True,0.05,100.0,5.8799,0.4317,"[4.3031, 6.0345]",18.4049,True,True,5.9915,6.0231,6.0312
Q07,Which movies has an actor with more salary than Meryl Streep and Clint Eastwood together?,Gemma 4 E2B,2B,False,0.05,100.0,8.2538,0.6931,"[7.9249, 10.2580]",18.1846,True,True,8.0104,8.665,10.2237
Q07,Which movies has an actor with more salary than Meryl Streep and Clint Eastwood together?,Gemma 4 E2B,2B,True,0.05,100.0,6.7329,1.4327,"[5.6868, 9.4823]",18.2384,True,True,5.9465,8.9291,9.1285
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 E2B,2B,False,0.05,100.0,5.2349,0.2051,"[5.1089, 5.7820]",18.5202,True,True,5.1472,5.5084,5.7666
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 E2B,2B,True,0.05,100.0,5.1697,0.0318,"[5.1580, 5.1813]",18.5377,True,True,5.1718,5.2042,5.2184
Q09,Which movies have no actors that have work with Meryl Streep in any movie?,Gemma 4 E2B,2B,False,0.05,100.0,9.3647,0.0448,"[9.3482, 9.3811]",17.9844,True,True,9.3717,9.4274,9.4332
Q09,Which movies have no actors that have work with Meryl Streep in any movie?,Gemma 4 E2B,2B,True,0.05,66.67,14.2623,22.9851,"[4.7838, 48.7261]",17.8562,True,True,7.974,16.4146,16.4426
Q10,Movies where all the main actors have won more awards than any Argentine actor,Gemma 4 E2B,2B,False,0.05,96.67,16.4414,20.7188,"[5.4277, 52.0439]",18.0372,True,True,10.8069,21.9229,24.3122
Q10,Movies where all the main actors have won more awards than any Argentine actor,Gemma 4 E2B,2B,True,0.05,100.0,11.3139,3.0128,"[9.1372, 17.9039]",18.241,True,True,9.8502,17.0471,17.5267
Q11,Which actors got married in 1980 where one of them appears in The Matrix?,Gemma 4 E2B,2B,False,0.05,100.0,5.0635,0.3615,"[4.5580, 5.5066]",18.4013,True,True,5.2248,5.4604,5.4818
