Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,Llama 3.1 8B,8B,False,0.1,100.0,26.214,0.7575,"[25.4412, 27.9536]",8.7159,True,True,26.5039,26.6637,27.2563
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Llama 3.1 8B,8B,False,0.1,100.0,29.9796,1.2535,"[26.9979, 31.1437]",8.6814,True,True,30.5225,31.1054,31.1319
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Llama 3.1 8B,8B,False,0.1,100.0,38.1945,0.042,"[38.1003, 38.2572]",8.4935,True,True,38.1945,38.212,38.2169
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Llama 3.1 8B,8B,False,0.1,100.0,33.6929,10.3627,"[31.4810, 47.7412]",8.507,True,True,31.5296,32.254,32.2665
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Llama 3.1 8B,8B,False,0.1,100.0,35.6307,7.1293,"[27.9773, 53.0410]",8.4902,True,True,32.8277,46.6176,50.1009
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Llama 3.1 8B,8B,False,0.1,90.0,79.1208,63.3194,"[4.6164, 249.9694]",8.4201,True,True,57.1487,154.2014,249.8513
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Llama 3.1 8B,8B,False,0.1,100.0,45.6805,4.4038,"[41.5223, 58.5656]",8.4801,True,True,45.0703,48.5511,56.3262
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Llama 3.1 8B,8B,False,0.1,100.0,32.1449,2.3129,"[24.2406, 33.2953]",8.4854,True,True,33.254,33.28,33.2878
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Llama 3.1 8B,8B,False,0.1,100.0,35.1231,6.4526,"[24.6289, 45.5611]",8.4897,True,True,33.5608,45.1805,45.3985
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Llama 3.1 8B,8B,False,0.1,96.67,45.6218,4.6155,"[40.8711, 55.7122]",8.4732,True,True,42.9873,50.4832,52.9435
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Llama 3.1 8B,8B,False,0.1,100.0,32.8356,2.5972,"[30.7063, 37.3378]",8.4531,True,True,31.223,37.1021,37.2201
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Llama 3.1 8B,8B,False,0.1,100.0,66.3748,36.2187,"[43.1488, 145.6517]",8.4254,True,True,46.5633,124.7023,131.927
Q13,Give me the movies and its featuring actors that have won an Oscar,Llama 3.1 8B,8B,False,0.1,100.0,33.7379,4.8735,"[25.9541, 39.7785]",8.472,True,True,32.7569,39.3385,39.3412
Q14,Give me the people who have directed or acted in more than 5 occasions,Llama 3.1 8B,8B,False,0.1,100.0,34.7355,1.5399,"[32.1916, 36.6784]",8.4643,True,True,33.7862,36.6563,36.666
