Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Ministral 3 14B,14B,False,0.1,100.0,151.25,0.5861,2.2951,True,True,151.0722,151.857,152.0494
Q02,Give me each Queen of England along with the list of their residences.,Ministral 3 14B,14B,False,0.1,100.0,239.0936,52.4023,2.2849,True,True,263.3699,269.0377,270.9245
Q03,Give me the third-degree relatives of Alfonso X.,Ministral 3 14B,14B,False,0.1,100.0,461.2419,188.3535,2.2595,True,True,558.5155,575.2488,577.9913
Q04,Give me all the groups that directly or indirectly influenced Queen.,Ministral 3 14B,14B,False,0.1,100.0,276.262,15.9664,2.2774,True,True,268.4212,291.6781,298.1622
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Ministral 3 14B,14B,False,0.1,100.0,131.9726,11.3425,2.2941,True,True,123.8857,144.4553,144.577
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Ministral 3 14B,14B,False,0.1,100.0,105.5108,0.3244,2.3013,True,True,105.617,105.8152,105.8598
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Ministral 3 14B,14B,False,0.1,100.0,135.4306,0.2627,2.2964,True,True,135.433,135.6813,135.7327
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Ministral 3 14B,14B,False,0.1,100.0,271.4668,117.261,2.276,True,True,241.3786,387.3579,389.9567
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.1,80.0,252.3949,37.0537,2.2806,True,True,244.6582,291.562,292.5585
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Ministral 3 14B,14B,False,0.1,100.0,187.0426,6.1562,2.2874,True,True,190.0223,192.303,192.4767
