Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Gemma 4 26B,26B,False,0.05,100.0,104.5898,1.2603,3.6598,True,True,104.1583,105.784,106.3047
Q02,Give me each Queen of England along with the list of their residences.,Gemma 4 26B,26B,False,0.05,100.0,90.752,0.0805,3.5799,True,True,90.744,90.8349,90.8571
Q03,Give me the third-degree relatives of Alfonso X.,Gemma 4 26B,26B,False,0.05,100.0,119.0583,1.5414,3.5756,True,True,118.3941,120.4501,121.1323
Q04,Give me all the groups that directly or indirectly influenced Queen.,Gemma 4 26B,26B,False,0.05,100.0,67.4678,6.4733,3.5848,True,True,62.7836,74.6049,74.7017
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Gemma 4 26B,26B,False,0.05,100.0,146.7073,0.0951,3.5704,True,True,146.6657,146.8121,146.8175
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Gemma 4 26B,26B,False,0.05,100.0,95.6152,0.1462,3.5773,True,True,95.5378,95.777,95.8125
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Gemma 4 26B,26B,False,0.05,100.0,97.9614,12.1269,3.7153,True,True,92.5207,108.8391,114.2468
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Gemma 4 26B,26B,False,0.05,100.0,98.4947,0.1615,3.6478,True,True,98.4438,98.6541,98.7115
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.05,100.0,285.8637,327.9275,3.5477,True,True,137.7866,581.2702,726.8614
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Gemma 4 26B,26B,False,0.05,80.0,326.5282,68.778,3.4942,True,True,295.7598,388.088,418.8249
