Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Which movies have more than four actors with the same birth year?,Mistral Nemo 12B,12B,False,0.15,100.0,80.3478,1.2941,"[79.0216, 82.9264]",3.5562,True,True,79.6059,81.8224,82.1671
Q02,Which movies have more than four actors born in the same year as another actor in the cast?,Mistral Nemo 12B,12B,False,0.15,100.0,78.594,0.5014,"[78.2595, 80.0526]",3.5529,True,True,78.4254,78.8526,79.9438
Q03,"Tell me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Mistral Nemo 12B,12B,False,0.15,96.67,116.2894,3.8219,"[104.3347, 119.6876]",3.5371,True,True,117.216,117.319,117.3279
Q04,"Find the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Mistral Nemo 12B,12B,False,0.15,100.0,88.0502,2.3075,"[80.9173, 93.0170]",3.5388,True,True,88.1705,88.4516,91.3891
Q05,What is the name of the Application that has the most incoming connections from other Applications?,Mistral Nemo 12B,12B,False,0.15,100.0,46.2609,5.9735,"[40.0654, 58.0217]",3.5712,True,True,45.9178,57.9565,57.9891
Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Mistral Nemo 12B,12B,False,0.15,50.0,92.329,5.2454,"[85.9097, 100.2129]",3.5427,True,True,92.1281,100.1403,100.1799
Q07,Which movies has an actor with more salary than Meryl Streep and Clint Eastwood together?,Mistral Nemo 12B,12B,False,0.15,100.0,82.3028,4.563,"[81.2768, 88.6841]",3.5478,True,True,81.4768,81.5562,81.7915
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Mistral Nemo 12B,12B,False,0.15,100.0,70.6388,2.3294,"[67.1397, 73.7931]",3.5535,True,True,70.5977,73.4456,73.4728
Q09,Which movies have no actors that have work with Meryl Streep in any movie?,Mistral Nemo 12B,12B,False,0.15,100.0,70.0214,7.307,"[57.3275, 79.7581]",3.5576,True,True,69.9385,76.5712,76.5908
Q10,Movies where all the main actors have won more awards than any Argentine actor,Mistral Nemo 12B,12B,False,0.15,13.33,97.5592,1.3058,"[95.1078, 99.6710]",3.5488,True,True,97.5728,99.5736,99.6284
Q11,Which actors got married in 1980 where one of them appears in The Matrix?,Mistral Nemo 12B,12B,False,0.15,93.33,85.9175,5.7203,"[82.5403, 103.8524]",3.5516,True,True,84.0736,90.1588,99.4114
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Mistral Nemo 12B,12B,False,0.15,80.0,126.6757,24.51,"[92.6673, 156.9298]",3.5318,True,True,123.5322,156.8311,156.8779
Q13,List the movies and its featuring actors that have won an Oscar,Mistral Nemo 12B,12B,False,0.15,100.0,63.6864,4.1824,"[61.8775, 77.5579]",3.5596,True,True,62.4366,64.2177,74.7018
Q14,People who have directed or acted in more than 5 occasions,Mistral Nemo 12B,12B,False,0.15,100.0,112.2167,23.3685,"[74.9717, 134.9440]",3.5367,True,True,115.6216,134.8591,134.9032
