Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,152.2366,27.0819,2.8313,True,True,157.367,177.9212,177.9971
Q02,Give me each Queen of England along with the list of their residences.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,100.3007,6.0864,2.8465,True,True,96.1873,106.9646,106.9666
Q03,Give me the third-degree relatives of Alfonso X.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,112.9902,11.9979,2.8433,True,True,104.2649,126.3149,126.7267
Q04,Give me all the groups that directly or indirectly influenced Queen.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,85.0189,0.2687,2.8497,True,True,85.1157,85.2516,85.2527
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,126.9337,0.4454,2.8324,True,True,126.9491,127.3761,127.3819
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,99.1594,0.2197,2.847,True,True,99.0855,99.3959,99.401
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,101.2631,2.2345,2.8301,True,True,100.0548,103.745,103.8707
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,94.0712,2.7699,2.8408,True,True,95.2726,95.4607,95.5002
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,141.0905,1.312,2.8369,True,True,141.5717,141.8848,141.8907
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,247.0271,24.1409,2.8215,True,True,238.5149,273.6514,277.0463
