Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,Gemma 4 26B,26B,False,0.05,100.0,88.4003,2.4145,"[87.1761, 93.2749]",3.6758,True,True,87.2213,93.2508,93.2696
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Gemma 4 26B,26B,False,0.05,96.67,439.6079,168.9779,"[171.5536, 583.9122]",3.5472,True,True,515.3165,581.2218,582.6941
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Gemma 4 26B,26B,False,0.05,100.0,132.0203,1.5496,"[131.3801, 135.3182]",3.5794,True,True,131.65,131.9446,133.6046
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Gemma 4 26B,26B,False,0.05,100.0,86.5131,0.5139,"[85.3027, 86.6809]",3.5611,True,True,86.6333,86.665,86.6724
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Gemma 4 26B,26B,False,0.05,100.0,78.3753,1.0632,"[76.9219, 78.6336]",3.5668,True,True,78.5548,78.6245,78.6258
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Gemma 4 26B,26B,False,0.05,100.0,141.3272,0.4213,"[140.6449, 141.9238]",3.5768,True,True,141.2998,141.3679,141.3966
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Gemma 4 26B,26B,False,0.05,100.0,294.3474,55.1293,"[282.6282, 368.2156]",3.5052,True,True,284.9054,285.4527,285.5047
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Gemma 4 26B,26B,False,0.05,100.0,133.3768,2.1937,"[129.8427, 136.0750]",3.5087,True,True,133.4115,135.9444,136.0498
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Gemma 4 26B,26B,False,0.05,100.0,134.2618,0.8355,"[132.4535, 134.7132]",3.5069,True,True,134.589,134.6768,134.6954
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Gemma 4 26B,26B,False,0.05,100.0,500.1453,112.4202,"[148.6718, 589.4500]",3.5003,True,True,473.312,589.3302,589.4184
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Gemma 4 26B,26B,False,0.05,100.0,129.7231,0.6422,"[128.4430, 129.9422]",3.505,True,True,129.8713,129.9205,129.9328
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Gemma 4 26B,26B,False,0.05,100.0,168.4321,2.0543,"[167.5099, 171.2838]",3.5014,True,True,168.1016,168.1848,168.2446
Q13,Give me the movies and its featuring actors that have won an Oscar,Gemma 4 26B,26B,False,0.05,100.0,94.4539,0.1782,"[94.1875, 94.6957]",3.5089,True,True,94.4531,94.5097,94.5435
Q14,Give me the people who have directed or acted in more than 5 occasions,Gemma 4 26B,26B,False,0.05,100.0,91.5641,0.1692,"[91.2883, 91.7815]",3.5094,True,True,91.5736,91.6382,91.7051
