Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,114.1364,2.0982,3.0096,True,True,114.784,115.4816,115.5394
Q02,Give me each Queen of England along with the list of their residences.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,111.5685,0.1335,3.0128,True,True,111.5123,111.699,111.7518
Q03,Give me the third-degree relatives of Alfonso X.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,97.8064,6.213,3.0169,True,True,93.5154,104.6255,104.6564
Q04,Give me all the groups that directly or indirectly influenced Queen.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,83.5258,0.2815,3.0168,True,True,83.4879,83.8221,83.8905
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,172.9691,12.6336,2.9958,True,True,178.5663,179.706,179.8193
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,117.5007,0.3913,3.008,True,True,117.6463,117.851,117.8741
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,129.4974,1.9844,2.9917,True,True,128.7383,131.3332,132.1849
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,73.0925,0.1228,3.0249,True,True,73.1064,73.2161,73.2354
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,0.0,128.0816,0.2969,3.0005,True,True,128.0673,128.3836,128.4467
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,178.6123,37.3434,2.9953,True,True,158.2017,219.3353,219.5647
